AGE,PAY_6,BILL_AMT1,PAY_AMT2,PAY_AMT1,ID,PAY_5,BILL_AMT5,PAY_0,PAY_2,MARRIAGE,PAY_AMT6,PAY_3,PAY_4,BILL_AMT6,EDUCATION,PAY_AMT5,BILL_AMT3,PAY_AMT4,BILL_AMT4,BILL_AMT2,LIMIT_BAL,PAY_AMT3,SEX,target
26,2,2682.0,1000.0,0.0,2,0,3455.0,-1,2,2,2000.0,0,0,3261.0,2,0.0,2682.0,1000.0,3272.0,1725.0,120000.0,1000.0,2,1
34,0,29239.0,1500.0,1518.0,3,0,14948.0,0,0,2,5000.0,0,0,15549.0,2,1000.0,13559.0,1000.0,14331.0,14027.0,90000.0,1000.0,2,0
57,0,8617.0,36681.0,2000.0,5,0,19146.0,-1,0,1,679.0,-1,0,19131.0,2,689.0,35835.0,9000.0,20940.0,5670.0,50000.0,10000.0,1,0
35,-1,0.0,0.0,0.0,10,-1,13007.0,-2,-2,2,0.0,-2,-2,13912.0,3,1122.0,0.0,13007.0,0.0,0.0,20000.0,0.0,1,0
51,2,12261.0,9966.0,21818.0,12,-1,22287.0,-1,-1,2,3640.0,-1,-1,13668.0,1,0.0,9966.0,22301.0,8517.0,21670.0,260000.0,8583.0,2,0
30,2,65802.0,0.0,3200.0,14,0,36137.0,1,2,2,0.0,2,0,36894.0,2,1500.0,65701.0,3000.0,66782.0,67369.0,70000.0,3000.0,1,1
24,2,15376.0,0.0,3200.0,17,2,17905.0,0,0,2,0.0,2,2,19104.0,1,1650.0,17428.0,0.0,18338.0,18010.0,20000.0,1500.0,1,1
49,-1,253286.0,10000.0,10358.0,18,-1,5856.0,0,0,1,50000.0,0,-1,195599.0,1,195599.0,194663.0,20000.0,70074.0,246536.0,320000.0,75940.0,1,0
26,2,41087.0,3582.0,2007.0,23,2,46905.0,2,0,2,1820.0,0,2,46012.0,2,0.0,45020.0,3601.0,44006.0,42445.0,70000.0,0.0,2,1
27,-1,-109.0,1000.0,0.0,27,-1,127.0,1,-2,2,1000.0,-1,-1,-189.0,1,0.0,259.0,500.0,-57.0,-425.0,60000.0,0.0,1,1
27,-1,16646.0,13281.0,17270.0,31,-1,14307.0,-1,-1,2,0.0,-1,-1,36923.0,1,37292.0,13266.0,14307.0,15339.0,17265.0,230000.0,15339.0,2,0
33,0,30518.0,1500.0,1718.0,32,0,23217.0,2,0,2,716.0,0,0,23680.0,2,1000.0,22102.0,1000.0,22734.0,29618.0,50000.0,1000.0,1,1
58,-2,13709.0,31178.0,5006.0,35,-2,0.0,-2,-2,1,768.0,-2,-2,5293.0,1,5293.0,31130.0,0.0,3180.0,5006.0,500000.0,3180.0,1,0
22,-1,15054.0,1518.0,1500.0,38,0,-28335.0,0,0,2,617.0,0,0,18660.0,2,47671.0,11068.0,0.0,6026.0,9806.0,60000.0,2043.0,2,0
25,-2,0.0,0.0,780.0,39,-2,0.0,1,-1,2,0.0,-1,-2,0.0,1,0.0,0.0,0.0,0.0,780.0,50000.0,0.0,1,1
29,-2,0.0,0.0,0.0,46,-2,0.0,-2,-2,2,0.0,-2,-2,0.0,1,0.0,0.0,0.0,0.0,0.0,210000.0,0.0,1,1
46,-2,4463.0,1170.0,1013.0,48,0,0.0,0,0,2,0.0,-1,0,0.0,5,0.0,1170.0,0.0,1170.0,3034.0,150000.0,0.0,2,1
24,0,17447.0,1315.0,1318.0,50,0,20480.0,0,0,2,1069.0,0,0,20063.0,1,912.0,19476.0,928.0,19865.0,18479.0,20000.0,704.0,1,0
49,-2,13465.0,7600.0,7875.0,53,-2,3544.0,-2,-2,1,0.0,-2,-2,464.0,2,464.0,7600.0,3544.0,11185.0,7867.0,310000.0,11185.0,2,0
29,0,400134.0,15029.0,17000.0,60,0,356656.0,0,0,1,23000.0,0,0,364089.0,2,12000.0,404205.0,12000.0,360199.0,398857.0,400000.0,30000.0,2,0
28,0,22848.0,1300.0,1516.0,61,0,13827.0,0,0,1,2000.0,0,0,15571.0,3,2000.0,18878.0,1000.0,14937.0,23638.0,500000.0,1000.0,2,1
46,-2,28718.0,0.0,1000.0,64,-2,0.0,0,0,1,0.0,0,-2,0.0,2,0.0,0.0,0.0,0.0,29166.0,50000.0,0.0,2,1
29,-1,-190.0,0.0,0.0,69,2,10161.0,1,-2,2,13899.0,-2,-1,7319.0,3,7319.0,-9850.0,0.0,10311.0,-9850.0,130000.0,20161.0,2,0
22,0,18565.0,1200.0,0.0,70,0,11205.0,2,0,2,0.0,0,0,5982.0,5,1000.0,17285.0,500.0,18085.0,17204.0,20000.0,1000.0,1,0
45,-1,291.0,291.0,291.0,78,-1,291.0,-1,-1,1,291.0,-1,-1,291.0,1,291.0,291.0,291.0,291.0,291.0,300000.0,291.0,2,0
26,-1,23411.0,3400.0,4796.0,82,0,180000.0,0,0,2,2963.0,0,0,196.0,1,196.0,30400.0,146900.0,33100.0,27796.0,360000.0,3100.0,2,0
35,-1,81313.0,5000.0,40000.0,89,-1,7095.0,0,0,1,2090.0,0,-1,1190.0,1,1190.0,17740.0,7095.0,1330.0,117866.0,130000.0,1330.0,2,0
32,-2,672.0,850.0,10212.0,101,-2,100.0,-2,-2,2,0.0,-2,-2,1430.0,1,1430.0,850.0,100.0,415.0,10212.0,140000.0,415.0,1,0
63,0,422069.0,55693.0,16078.0,103,2,471145.0,0,0,1,24200.0,0,2,469961.0,1,18000.0,479432.0,0.0,487066.0,431342.0,480000.0,17000.0,1,0
52,-1,713.0,722.0,2272.0,108,-1,1150.0,-1,-1,2,5011.0,-1,-1,5263.0,1,5263.0,722.0,1150.0,867.0,2272.0,350000.0,867.0,1,0
35,-2,-103.0,0.0,0.0,110,-2,-103.0,1,-2,1,0.0,-2,-2,-103.0,2,0.0,-103.0,0.0,-103.0,-103.0,360000.0,0.0,1,0
47,0,13244.0,1000.0,2000.0,112,0,16671.0,0,0,1,1000.0,2,0,17393.0,3,1000.0,15181.0,1000.0,15928.0,14722.0,50000.0,1000.0,1,0
41,0,19015.0,1305.0,1340.0,115,0,20311.0,0,0,2,684.0,0,0,19957.0,2,724.0,20259.0,718.0,20274.0,19294.0,50000.0,700.0,1,0
24,2,18199.0,1312.0,0.0,116,3,20692.0,-1,2,2,1000.0,0,0,21201.0,1,1000.0,18631.0,0.0,21319.0,17618.0,30000.0,3000.0,1,1
28,-1,326.0,326.0,326.0,117,-1,476.0,-1,-1,2,526.0,-1,-1,326.0,1,326.0,326.0,476.0,5676.0,326.0,240000.0,5676.0,1,0
40,-2,0.0,0.0,0.0,122,-2,0.0,1,-2,1,0.0,-2,-2,0.0,1,0.0,0.0,0.0,0.0,0.0,450000.0,0.0,1,1
52,0,110151.0,3585.0,3568.0,127,0,103146.0,0,0,2,3784.0,0,0,104993.0,3,3669.0,98951.0,3848.0,100914.0,99530.0,200000.0,3602.0,1,0
51,0,3347.0,1066.0,1000.0,129,0,6375.0,0,0,1,134.0,0,0,7077.0,2,1200.0,4503.0,1500.0,5347.0,3899.0,50000.0,1300.0,1,1
41,-1,95.0,3301.0,2622.0,132,0,360.0,1,-1,2,924.0,-1,0,1737.0,1,1737.0,3301.0,360.0,3164.0,2622.0,240000.0,0.0,1,0
24,0,50801.0,1700.0,2360.0,140,0,19375.0,0,0,2,2130.0,0,0,18995.0,1,870.0,49586.0,900.0,19430.0,50143.0,50000.0,1000.0,1,0
47,-2,0.0,0.0,0.0,141,-2,0.0,1,-2,2,0.0,-2,-2,0.0,1,0.0,0.0,0.0,0.0,0.0,240000.0,0.0,1,1
28,3,4999.0,1500.0,1000.0,146,0,10624.0,0,0,2,0.0,0,0,10138.0,1,1100.0,7315.0,1583.0,9195.0,5913.0,50000.0,2000.0,1,0
34,0,197236.0,5000.0,8000.0,148,0,132233.0,1,2,2,8500.0,0,0,59875.0,1,5000.0,93069.0,5000.0,135668.0,176192.0,200000.0,55500.0,1,0
23,0,9168.0,0.0,1650.0,149,0,10123.0,1,2,1,1.0,3,2,12034.0,2,2091.0,10205.0,379.0,9898.0,10522.0,80000.0,0.0,2,0
30,0,196031.0,7108.0,7300.0,158,0,146975.0,0,0,2,4500.0,0,0,122324.0,3,5000.0,189524.0,6200.0,167163.0,196143.0,200000.0,7680.0,2,0
47,-1,1234.0,396.0,396.0,163,0,396.0,-1,-1,1,369.0,-1,-1,423.0,3,423.0,396.0,0.0,792.0,396.0,290000.0,792.0,1,0
34,0,141223.0,0.0,17994.0,164,0,155997.0,0,0,1,3920.0,2,0,160220.0,1,6811.0,151841.0,5656.0,152803.0,156858.0,250000.0,5469.0,2,0
30,-1,688.0,0.0,3288.0,172,-1,2672.0,-1,-1,2,746.0,-1,-1,800.0,1,800.0,0.0,2672.0,4340.0,3280.0,300000.0,4340.0,2,0
30,0,6187.0,500.0,504.0,177,0,1919.0,-2,-1,2,0.0,0,0,5380.0,1,3500.0,600.0,500.0,1438.0,100.0,80000.0,1000.0,1,0
22,0,16001.0,1201.0,1212.0,179,0,14034.0,0,0,2,1000.0,0,0,14906.0,2,1500.0,13221.0,1500.0,13130.0,12622.0,20000.0,500.0,2,0
47,0,56422.0,30357.0,70010.0,183,0,108834.0,0,0,1,20000.0,0,0,70064.0,1,52183.0,110340.0,20000.0,122967.0,110616.0,500000.0,30000.0,2,0
25,-1,10642.0,1593.0,1200.0,185,0,1615.0,0,0,2,0.0,0,0,1620.0,2,1824.0,13070.0,135.0,12280.0,11677.0,20000.0,601.0,1,0
24,-2,14670.0,0.0,37867.0,194,0,0.0,-1,-1,2,0.0,2,0,0.0,1,0.0,21282.0,0.0,10200.0,22087.0,180000.0,200.0,2,0
24,2,36166.0,1400.0,1900.0,196,2,39228.0,1,2,2,0.0,2,2,40035.0,1,1600.0,37680.0,1532.0,38462.0,37188.0,50000.0,1700.0,2,1
34,-2,0.0,0.0,0.0,197,-2,0.0,-2,-2,1,0.0,-2,-2,1500.0,2,1500.0,0.0,0.0,116.0,0.0,150000.0,116.0,2,0
38,-2,750.0,0.0,0.0,201,-2,0.0,-2,-2,1,0.0,-2,-2,0.0,1,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,2,0
31,2,27123.0,0.0,25000.0,202,0,27407.0,0,0,2,2500.0,2,0,10833.0,1,0.0,17985.0,7800.0,20225.0,27299.0,140000.0,3000.0,1,0
43,0,227.0,1305.0,22359.0,206,0,19450.0,-1,-1,1,1700.0,0,0,19337.0,3,3457.0,20237.0,1459.0,19339.0,20351.0,20000.0,1258.0,1,0
41,-1,3088.0,343.0,1586.0,208,-1,877.0,-1,-1,1,419.0,-1,-1,0.0,2,0.0,343.0,877.0,3763.0,1586.0,210000.0,3763.0,2,1
24,0,81625.0,3000.0,3200.0,209,0,49509.0,0,0,2,1800.0,0,0,49568.0,2,1800.0,79599.0,2000.0,49552.0,81554.0,80000.0,2038.0,2,1
